行号	实体id	需要哪个官方表的哪一列/公式	我们这边的来源(文件:行 或 "空")	判据
4119	tbl:Affix(301 id)|id=18	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:19	公式求值相等
4120	tbl:Affix(301 id)|id=19	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:20	公式求值相等
4121	tbl:Affix(301 id)|id=20	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:21	公式求值相等
4122	tbl:Affix(301 id)|id=21	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:22	公式求值相等
4123	tbl:Affix(301 id)|id=22	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:23	公式求值相等
4124	tbl:Affix(301 id)|id=23	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:24	公式求值相等
4125	tbl:Affix(301 id)|id=24	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:25	公式求值相等
4126	tbl:Affix(301 id)|id=25	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:26	公式求值相等
4127	tbl:Affix(301 id)|id=26	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:27	公式求值相等
4128	tbl:Affix(301 id)|id=27	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:28	公式求值相等
4129	tbl:Affix(301 id)|id=28	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:29	公式求值相等
4130	tbl:Affix(301 id)|id=29	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:30	公式求值相等
4131	tbl:Affix(301 id)|id=30	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:31	公式求值相等
4132	tbl:Affix(301 id)|id=31	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:32	公式求值相等
4133	tbl:Affix(301 id)|id=32	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:33	公式求值相等
4134	tbl:Affix(301 id)|id=33	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:34	公式求值相等
4135	tbl:Affix(301 id)|id=34	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:35	公式求值相等
4136	tbl:Affix(301 id)|id=35	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:36	公式求值相等
4137	tbl:Affix(301 id)|id=36	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:37	公式求值相等
4138	tbl:Affix(301 id)|id=37	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:38	公式求值相等
4139	tbl:Affix(301 id)|id=38	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:39	公式求值相等
4140	tbl:Affix(301 id)|id=39	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:40	公式求值相等
4141	tbl:Affix(301 id)|id=40	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:41	公式求值相等
4142	tbl:Affix(301 id)|id=41	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:42	公式求值相等
4143	tbl:Affix(301 id)|id=42	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:43	公式求值相等
4144	tbl:Affix(301 id)|id=43	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:44	公式求值相等
4145	tbl:Affix(301 id)|id=44	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:45	公式求值相等
4146	tbl:Affix(301 id)|id=45	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:46	公式求值相等
4147	tbl:Affix(301 id)|id=46	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:47	公式求值相等
4148	tbl:Affix(301 id)|id=47	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:48	公式求值相等
4149	tbl:Affix(301 id)|id=48	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:49	公式求值相等
4150	tbl:Affix(301 id)|id=49	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:50	公式求值相等
4151	tbl:Affix(301 id)|id=50	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:51	公式求值相等
4152	tbl:Affix(301 id)|id=51	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:52	公式求值相等
4153	tbl:Affix(301 id)|id=52	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:53	公式求值相等
4154	tbl:Affix(301 id)|id=53	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:54	公式求值相等
4155	tbl:Affix(301 id)|id=54	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:55	公式求值相等
4156	tbl:Affix(301 id)|id=55	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:56	公式求值相等
4157	tbl:Affix(301 id)|id=56	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:57	公式求值相等
4158	tbl:Affix(301 id)|id=57	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:58	公式求值相等
4159	tbl:Affix(301 id)|id=58	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:59	公式求值相等
4160	tbl:Affix(301 id)|id=59	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:60	公式求值相等
4161	tbl:Affix(301 id)|id=60	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:61	公式求值相等
4162	tbl:Affix(301 id)|id=61	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:62	公式求值相等
4163	tbl:Affix(301 id)|id=62	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:63	公式求值相等
4164	tbl:Affix(301 id)|id=63	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:64	公式求值相等
4165	tbl:Affix(301 id)|id=64	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:65	公式求值相等
4166	tbl:Affix(301 id)|id=65	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:66	公式求值相等
4167	tbl:Affix(301 id)|id=66	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:67	公式求值相等
4168	tbl:Affix(301 id)|id=67	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:68	公式求值相等
4169	tbl:Affix(301 id)|id=68	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:69	公式求值相等
4170	tbl:Affix(301 id)|id=69	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:70	公式求值相等
4171	tbl:Affix(301 id)|id=70	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:71	公式求值相等
