# 差异登记（只允许「允许的差异」；四要素缺一 = 未登记 = 不许交付）
# 口径：逐条搬运自 策划/验收表.md 的「允许的差异」区（行匹配 ^\|\s*\*{0,2}E\d+，= tools/verify.ps1 的 allow-diff-registry 检查口径）
#       + 本目录 extra-registry.tsv 的「手工登记」补充源（主 agent 裁决、验收表冻结不许改的那些，如 E42）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
是什么	为什么	出处	何时消除
E7 · HUD 上「跑/走按钮」与「小面板开关箭头」的 **y** 不照 `ControlPanel.prefab` 原值（原值 art y 21 / 26），改放**技能格带下方的空白条**（art y 14 ⇒ 画布 y −514.8）	原版这两个按钮的**父容器** `ImageExpBarLeft` / `ImageExpBarRight` 在 `ControlPanel.prefab` 里是 `m_IsActive: 0`，参考工程 `Scenes/Game.unity` 对它们**没有 active 覆盖** ⇒ **原版 HUD 上看不到这两个按钮**；按原值摆会分别**压住第 1、第 5 个技能格**（`ControlPanel.png` 底图实测技能格带 art y 86..115）—— 这正是用户报的「下方技能栏图标摆放位置不对」。本项目需要这两个鼠标入口（键盘 I/C/T/Q/Tab/Esc 只覆盖各面板），故**只挪 y**（该空白条里没有任何原版图元：经验条 art y 27..31、技能格下沿 art y 115），**x 仍严格照 prefab**（art x 338 / 475）	`UI/UiLayoutGame.cs` `HudSubBarArtY` / `HudSubBarY` + `RunButtonPos` / `MiniPanelArrowPos`；断言 `.ai-tmp/hosts/uicheck`「跑/走按钮与小面板开关**不压任何原版格子/球/经验条**」 ｜ 登记行：策划/验收表.md:476	★ **本轮已按原版默认态隐藏**（`UI/HudPanel.cs` 的 `BuildRunButton` / `BuildMiniPanelToggle` 末尾各加一行 `SetActive(false)` + 逐条注释出处；实机 `〔本轮活证据 = `.ai-tmp/screenshots/x_x6_hud.png`（索引格 X6）〕` **自己读图**：技能格带下方**已无**这两个图标，双球 60/60·22/22、左右技能格、`F1`~`F6` 技能栏都在；跑/走切换仍可用**原版的 `R` 键**）。**残余**：小面板的**鼠标展开入口**随之消失（原版「导航条展开」的完整实现未拿到）⇒ 拿到后接回；`uicheck` 的「不压任何原版格子/球/经验条」断言不受影响（隐藏态天然成立）
E8 · ~~**冷启动不应用 `video/quality`**（引擎档位 = 工程默认 5/Ultra，要等打开选项面板才被 `SettingsPanel.Load()` 应用）~~ ⇒ **已解决（本轮）**	根因 = `App/Bootstrap.ApplyStoredSettings` 的持久化清单只有 bgm/sfx/fullscreen/wasd、**漏了画质**。修法：新增 `App/Bootstrap.ApplyStoredQuality()`，冷启动即读 `Game.Setting["video/quality"]` → `QualitySettings.SetQualityLevel(n, false)`，口径同 `UI/SettingsPanel`（`LOW/MED/HIGH` ⇒ 0..2，再与引擎档位数取小）；**引擎无档位 / 越界钳制 / Set 抛异常 / 读回不一致 一律 Warn（不静默）**。实测（`client/logs/2026-09-18.log`；一次性探针按 §1.8 用完即删，关键值抄在下）：**A/B 对照** —— 临时停用修复的冷启动 01:38:02 = `[App] [设置] 已应用持久化设置：… quality=5`（探针 `[E8] 断言 engineLevel==stored ? False`：存储 0 / 引擎 5；面板同批 `画质读自 … = 0（低；引擎 QualitySettings.GetQualityLevel()=5，可用档位 6 档）`）；修复后**连续 3 次冷启动**断言全 `True`：01:40:50 `[App] [设置] 画质已应用：video/quality=0 → QualitySettings.SetQualityLevel(0)（引擎现读回 0）`、01:42:16 与 01:43:12 各一条 `video/quality=2 → SetQualityLevel(2)（引擎现读回 2）`，面板侧同批 `[Ui] [设置] 画质读自 … = 2（高；引擎 QualitySettings.GetQualityLevel()=2，可用档位 6 档）`（**修复前此处恒为 `=5`**）；越界分支实测 01:46:21 `[Warn] [App] [设置] video/quality=5 超出可用档位 0..2（引擎 6 档）⇒ 钳制为 2` + `画质已应用：video/quality=5 → SetQualityLevel(2)（引擎现读回 2）`。截图（`--source screen`，本 agent 自己读图）`〔本轮活证据 = `.ai-tmp/screenshots/x_h2_options_before.png` / `.ai-tmp/screenshots/x_h2_options_after.png`（索引格 H2-opt-before/after：`settingQuality=0 engineQuality=0`）+ `.ai-tmp/screenshots/w2_h2_options_after.png`〕`（面板 LOW ↔ 引擎 0）、`e8_a_panel_high.png`（HIGH ↔ 2）、`e8_b_panel.png` / `e8_c_panel.png`（两次连续冷启动均 HIGH ↔ 2，面板文案与引擎档位一致）	`App/Bootstrap.cs:169-224`（`SettingKeyQuality` / `MaxQualityLevel` / `ApplyStoredQuality`）；对照 `UI/SettingsPanel.cs:56`（`KeyQuality`）与 `:121-167` ｜ 登记行：策划/验收表.md:477	**已消除**（`video/quality` 现由 `App/` 在冷启动应用，无残余）
E9 · ~~**罗格营地只用了原版 4 块里的 1 块**（`TownW1.ds1`）~~ ⇒ **已解决（agent-41）**	根因 = 上一版网格尺寸取契约常量 `GameConst.TownWidth/Height = 32`，装不下原版 56×40 整关。**本轮改成**：生成器直接读原版规则表 `Levels.txt`（56×40）+ `LvlPrest.txt`（4 块），四块全部读取 → 按实测偏移对齐（锚点 = 围栏环左上角；**`warp.dt1` 标记格复验 4/4 重合**）→ **逐格补空**合并；实测 `[a41]` 四块偏移 `TownN1(+14,-11) / TownE1(+18,-5) / TownS1(+14,+6) / TownW1(0,0)`。证据 `〔本轮活证据 = `.ai-tmp/screenshots/a01_town_wide.png`（整关营地 56×40，联络图 `.ai-tmp/screenshots/r1_contact.png` 格 A1，索引 `.ai-tmp/screenshots/r1_contact.index.tsv`）〕`（实机 56×40 整关 = 方形围栏合围 + 营地外的河）、`client/logs/2026-09-18.log:12313/12352`、`python tools/d2codec/export_town_layout.py` 的自检输出	`tools/d2codec/export_town_layout.py`（重写：读 Levels/LvlPrest + 对齐 + 逐格补空）；`Module/Map/MapGenTown.cs`（以生成物尺寸为准） ｜ 登记行：策划/验收表.md:479	**已消除**（4 块全接上，且 `mapcheck` 断言营地方形合围/河=阻挡/出城口可达）
**E13**（新登记） · **`TownSTrans`（`LvlPrest` Def=3，56×8）这条过渡带没接**	它不是"营地外扩带"而是**野外关卡北边界**的一块：原版 `SpawnTownTransitionsAndCaves` 把它放在野外关卡的**北边界**（`SpawnOutdoorLevelPresetEx(pLevel, 0, 0, 3, …)` 与 `(…, w−7, 0, 3, …)`），出处 `libd2/.../drlg/outdoors/OutRoom.zig:251-292`、调用点 `ActInit.zig:74-83`。本项目野外与城镇**只有一条**相连的接缝（回城口的**西**边界）⇒ 已接的是 `TownETrans`（E 带，5 槽）；没有"城镇在北"的接缝，故 S 带没有落脚点	`client/Assets/Scripts/Module/Map/MapGenWilderness.cs::StampBorderRing`（只铺 `GroupBand` 的 E 带）；`tools/d2codec/export_wild_layout.py`（只导出 `TownETrans`） ｜ 登记行：策划/验收表.md:482	若将来把野外做成"城镇可在任意一侧"（或再加一条北接缝）⇒ 把 `TownSTrans`/`TownSTrans2` 也导出并铺到北边界
**E14**（新登记，主 agent 裁决第 4 条） · **野外的随机是"块级近似"**（周圈按开口拼接 + 内部固定 35% 覆盖率撒块 + 散落件 3~8 件 + 一条拐弯土路），与引擎 `DrlgType=3` 的"**逐格替换组 + seed 抽样**"不同	**逐格瓦片全部来自原版 ds1**（每格地面/物件键都是原版块里的），差的是**块的选择策略**：引擎按 `LvlSub` 的替换组逐格抽样、按 junction/出入口标志 + seed 抽边界预设、出口路径走真正的寻路 + 抖动；本项目是确定性规则 + 固定覆盖率（同 seed 仍可复现）。**完整口径表写进了** `策划/自审对比/场景对照.md` §⑤-5（逐环节对照：场地尺寸/基底/周圈/内部/散落件/土路/洞口/可复现）	`client/Assets/Scripts/Module/Map/MapGenWilderness.cs`；`tools/d2codec/export_wild_layout.py`；对照表 `场景对照.md` §⑤-5 ｜ 登记行：策划/验收表.md:483	要 1:1 复刻引擎的户外生成器（移植 `d2-drlg` 的 `OutRoom/OutPlace/OutSub` 那一整套），属独立工程
E11 · **`tools/d2codec/export_pieces.py` 是死工具**：产物 `MapGenPieceData.cs` 从没被任何代码引用	该脚本（上一轮遗留）能跑通并产出块表，但 `client/Assets/Scripts/Module/Map/` 下没有 `MapGenPieceData.cs`、也没有 `MapGenPieces.cs`（`Select-String` 全仓 0 命中）⇒ 属"定义了但没人用"	`tools/d2codec/export_pieces.py`（文件头声明产物路径）；本轮野外块改由**新**的 `export_wild_layout.py` → `MapGenWildLayout.cs` 承担 ｜ 登记行：策划/验收表.md:484	要么删掉 `export_pieces.py`，要么把它的洞穴部分换成 `export_cave_layout.py`（后者才是当前在用的）
**E15**（新登记，a51） · **任务日志「徽记板帧序 ↔ 任务状态」映射是推断**：未接取 = 空石龛（不画徽记板）/ 进行中 = `questicon_0` / 可交付 = `questsocket_1`（金框）+ `questicon_0` / 已完成 = `questicon_1`（宝石熄灭）；`questicon_2` 无对应状态 ⇒ **不接线**	原版**帧序语义没有出处**：`MENU/questicons.dc6` 不带语义表，参考工程 `Diablerie/Assets/Prefabs/` **没有任务面板 prefab**，工作区也没有原版截图 ⇒ 只能按"帧 0 蓝宝石在发光 / 帧 1 宝石熄灭"这一处**可见差异**推断（本轮 8× 放大逐帧读过 `questicon_0/1/2`）	`UI/QuestLogPanel.cs::IconFrameOf` / `SlotHighlighted`；`UI/UiLayoutGame.cs §⑥`；对照表 `策划/自审对比/UI对照.md` ②-1 ｜ 登记行：策划/验收表.md:485	拿到原版任务日志截图或 UI 脚本后逐帧核对（用户提供）
**E16**（新登记，a51） · **任务日志「标题条（「任務」）位置」+ 正文 5 行的行距/对齐是推导**：标题条 133.2×97.2 贴在面板**外**正上方居中；正文 5 行（名 22/状态 20/目标 20/进度 20/提示 16）行距 40/72/88/156/194 画布px	面板内 4 条带**已被原版控件占满**：页签带高 54、石纹区留给 2×95 石龛、正文区是正文、底部大理石条高 47 **< 标题条 54** ⇒ 74×54 的原版标题条**放不进任何一条**，只能落在面板外正上方；正文在原版是**运行时文字**（`LOCAL/UI/chi/act1/A1Q*.DC6` 实测是"Entering …"区域名横幅，不是任务正文）⇒ 正文排版同样无位图出处	`UI/UiLayoutGame.cs` `QuestBannerY/QuestBannerBox` + `QuestNameY..QuestHintY`；`UI/QuestLogPanel.cs::BuildTextBox`；对照表 `UI对照.md` ② ｜ 登记行：策划/验收表.md:486	同上
**E17**（新登记，a51；**R1-E 就地更正**） · **NPC 对话面板的「控件栈排布」是本项目自定**：名字 21 / 台词 68 / 商店提示 16.5 / 选项 3×25.5（**行距** 28.5 未变）/ 两排动作按钮 25.5；正文行宽仍 334.8 画布px，**但选项列已改走自己的中央列** —— 行宽 **66 原版px**（118.8 画布px = 两雕花方槽之间净宽 72 内缩 3）、列中心 **原版 x 103**（= (67+139)/2，两雕槽中点；底图横向中线 105 ⇒ 相差 3.6 画布px，这就是裁决记录里那句「列心 −3.6」）。**原写的「选项步进 28.5 / 内容行宽 334.8」是旧口径**（选项与正文同列 ⇒ 第 2/3 行压进雕槽，见 **S6**）⇒ 现行口径见 **E37**	参考工程**没有任何对话面板 prefab**；原版 `MENU/dialogbackground.DC6`（210×158）只提供"外沿金框 + 1 条扁正文槽（原版 y 68..90）+ 下带若干小方槽"，**"有几个槽、每个槽放什么"没有出处**（`MENU/boxpieces.DC6` 才是可拼装黑框的九宫格件，本批没有它的拼装参数）⇒ 本轮唯一硬约束 = **全部落在石框可见区 `x[-185.4,183.6] × y[-314.7,-30.3]` 内且两两不重叠**（旧版连这条都不满足，见 B22）	`UI/NpcDialogPanel.cs` 的「★★ 本轮修正」常量块；对照表 `UI对照.md` ③ ｜ 登记行：策划/验收表.md:487	拿到原版 NPC 对话截图 / UI 脚本后按槽位落位
**E31**（新登记，片 10） · **商店底部 4 个雕槽只填了 2 个**（修理 / 关闭），另 2 个留空；`buysellbtn` 里另外 7 个图形（手取物 / 盆·碗 / 问号 / 左右箭头 / 对勾）**未接线**	原版买卖屏**没有 prefab、也没有实机截图** ⇒ "4 个槽各是哪个功能"**没有出处**；但**图形本身自明**（锤砧 = 修理、⊘ = 关闭）⇒ 已按图形把这 2 个确定的接上（片 10 修正：旧实现一律贴帧 `0/1` = **空白石钮**，实机上是两个没有图形的空方块）。其余 7 个图形对应的功能（赌博 / 物品翻页 / 确定）在原版属于**范围边界之外或形态未知**（`docs/步骤文档.md` §1 明确不做赌博深度）	`UI/ShopPanel.cs::ApplyBuySellButtonArt`（帧号口径 + 非法帧回落告警）；逐帧语义表 `〔本轮活证据（2026-09-21 重采） = `.ai-tmp/screenshots/a12_shop_and_dialog.png`（联络图 .ai-tmp/screenshots/r1_contact.png 格 A12，索引 .ai-tmp/screenshots/r1_contact.index.tsv）〕`（18 帧 8× 放大）；实机 `〔本轮活证据（2026-09-21 重采） = `.ai-tmp/screenshots/a12_shop_and_dialog.png` ＋ `.ai-tmp/screenshots/a15_shop_title_hint.png`（联络图 .ai-tmp/screenshots/r1_contact.png 格 A12/A15，索引 .ai-tmp/screenshots/r1_contact.index.tsv）〕` ｜ 登记行：策划/验收表.md:488	① 拿到**原版买卖屏实机截图** ⇒ 定 4 个槽的确切功能；② 或按范围边界永久不接（届时把本条改成"不做"）
**E31-①** · **Unity 工程级 Input Actions（`Assets/Settings/InputSystem_Actions.inputactions`）里仍有一条 `Move` 动作的方向键合成绑定**	该资产**不是本工程代码**：由 Unity / Input System 模板生成，并在 `ProjectSettings/EditorBuildSettings.asset:18` 注册为 `com.unity.input.settings.actions`（工程级 actions）；引擎 `Runtime/Presentation/Input.cs:989-993` 建的 `InputSystemUIInputModule` **不指定 actions 资产** ⇒ 按 Unity 6 的默认回落到它（供 UI 导航）。`client/Assets/Scripts/**` 里**没有任何一行**读 `InputAction` / `PlayerInput`（grep = 0）⇒ 玩家移动/攻击**不经它**（真正读输入的两处 = `App/Bootstrap.cs` 的 `CloverInput.Init()` 与 `Module/Input/InputReader.cs`）；删它 = 动引擎/平台层资产，且会让 UI 输入模块失去默认 actions	`Assets/Settings/InputSystem_Actions.inputactions`（+ `EditorBuildSettings.asset:18`）；对照 `client/Assets/Scripts/Module/Input/InputReader.cs`（唯一读 `Game.Input` 的地方） ｜ 登记行：策划/验收表.md:631	主 agent 若裁决「连平台层资产也一并清」⇒ 先给 UI 输入模块显式指定一个 actions 资产，再删该文件
**E31-②** · **本工程「受击闪白」是 tint 向白靠**（对白底 sprite = **恒等变换**，实机不可见）	`ViewModule.ApplyFlash` 是 `Color.Lerp(底色, 白, 0.85)`，而**真素材**视图的底色本来就是 `Color.white`（`ApplyTint`：只有占位/地面物品才用 `BaseColor`）⇒ 受击前后怪物 tint 实测都是 `1.00/1.00/1.00`（`[P8]` 行），图上也没有白闪。**可见的受击反馈另有四件**（都是原版/引擎既有）：原版受击动作帧 `hit_*`、反向位移 `0.060,0.030`、引擎 `FloatTexts` 伤害数字、同栈血量变化	`Module/View/ViewModule.cs::ApplyFlash`（:963-972）+ `::ApplyTint`（:954-961）；实测 `client/Logs/Editor.log` 的 `[P8]` 行 ｜ 登记行：策划/验收表.md:632	拿到原版「受击闪白」的机制出处（调色板替换 / 白剪影）或放开原版贴图 Read/Write（`Assets/Editor/AssetImporter.cs:307 isReadable=false`）后按帧生成白剪影 ⇒ 只改 `ApplyFlash` 一处（见 BL-9）
**E32**（= 裁决记录里的 E-new1） · **河面 wall 层纯色水瓦片（`moor_river/028`，49 格）不叠**：河面改由同 `river.dt1` 的 floor 水瓦片呈现	**引擎没有运行期 PL2 调色板循环** ⇒ 静态渲染该瓦片 = 硬边平色块（观感等同占位，就是用户投诉的"蓝条"）。实测：`r1b_water_tiles.py` 扫 295 个被引用键，**唯一色数 = 1 的平色瓦片只有这一个**（RGBA(0,32,68)），铺在河带 x=47/54 共 **49 格**；取不到文件的键 = **0**（⇒ 排除 Exit 亮青占位）；这 49 格**仍是水 = 阻挡**（可走性一格未动）	`Objects/moor_river/manifest.json`（tileCount=1 / idx28 / walk=true）× `tools/d2codec/export_tiles.py:66`（`river.dt1` → `moor_river`）× 判据脚本 `tools/probes/measure/r1b_water_tiles.py`；白名单落点 `Module/Map/MapView.cs`；离线断言 `tools/probes/hosts/mapcheck::Step15_FlatWaterWallNotOverlaid`（白名单**恰 1 个键** / 命中 49 格全在 x=47,54 / 反例全 false / 仍是水=阻挡） ｜ 登记行：策划/验收表.md:867	做出**运行期调色板循环**后清空 `MapView` 的白名单即可（逻辑零改动）
**E33**（= E-new2） · 创角转身过渡**中间帧的锚点位置**取两端真实几何（原版 prefab 热点 + DC6 offset 真值）的**线性插值**（矩形本身逐帧正确：原生尺寸 ×1.8）	原版 DC6 的**逐帧 offset 不在本机**（`原版资源/` 按 §1.9 只在下载/解包时存在，未下载）⇒ 中间帧位置无出处可循，只能插值；矩形**逐帧**有出处（= 磁盘上 `fw_{i}.png` 的 IHDR 宽高 ×1.8）	生成物 = `tools/probes/gen_portrait_frame_table.py`（就地重写 `UI/UiLayoutFlow.cs` 的 `ClassMenu.Transition`）；离线判据 = `tools/probes/hosts/uicheck` 第 ⑰ 节（回读 167 张 PNG 逐帧比对，0 例外） ｜ 登记行：策划/验收表.md:868	原版素材到位后按**逐帧 offset** 重生成表
**E34**（= E-new3） · **商店标题行「阿卡拉」与提示行「买入」是本轮新增控件**（原版该处没有可依的位图文字）	原版**页名是运行时文字**：`buyselltabs` 8 帧实测**纯大理石、无烘字**；本机**没有原版串表的出处** ⇒ 只能自建两行。实测落位：`titleScreen=960,861` / `hintScreen=960,831`，两行都落在"页签带底沿 `ShopTabBottomY=335.7` ~ 格区顶沿 `ShopGridTopY=277.2`"的空带内（`[R1-E] SHOP tag=a15 …`）	`UI/ShopPanel.cs::BuildTitleLines` + `UI/UiLayoutGame.cs` 的 `ShopTitlePos` / `ShopHintPos` / `ShopInfoLineSize` / `ShopTabBottomY` / `ShopGridTopY`；离线 `uicheck` 第 ⑬ 节 S5；实机 `.ai-tmp/screenshots/a15_shop_title_hint.png` ｜ 登记行：策划/验收表.md:869	拿到原版串表 / 截图后核对文案与落位（**用户提供**）
**E35**（= E-new4） · **对话条降到 `Normal` 层、商店保持 `Popup` 层**	引擎 `UI.cs` 的遮罩挂在 **Popup 层**且 `raycastTarget = true`（吃点击），而 `Open<Popup>` 会对同层其它面板调 `CloseMutexPanels()`（**= `Destroy`，且不发关闭事件**）⇒ 对话条若也在 Popup 会被**互相销毁**（= 原缺陷 S1）。**代价（如实登记）**：商店开着时对话条被引擎内建黑遮罩压暗、且被商店面板几何遮住（模态）	`UI/NpcDialogPanel.cs::Layer`（`=> UILayer.Normal`）+ 文件头 S1 注释（引擎 `Runtime/Presentation/UI.cs` 的 `Open<T>` `:155-159` / `CloseMutexPanels` `:431-441` / `ShowMask` `:443-461`）；实机 `.ai-tmp/screenshots/a12_shop_and_dialog.png` / `a13_shop_closed.png`（`shopLayer=Popup dialogLayer=Normal`） ｜ 登记行：策划/验收表.md:870	拿到原版"点交易后同屏"截图后按原版落位 / 层级核对（**用户提供**）
**E36**（= E-new5，由 R1-F 定稿） · **创角名字框默认名口径 = 预填 `Hero` + 首次键入整体替换**（不是"初始为空 + 占位提示"）	开屏可见文本 == `Hero	` 是**既有口径**（`config.json:3` 的 `DefaultPlayerName` → `Cfg` → `AppFlow.Args.defaultName` 预填）；缺陷在于首个键入字符**追加在插入点** ⇒ `HeroAma65x`。定稿口径 = **默认名是一个整体单元**：首次键入任一有效字符时**整个缓冲被该字符替换**（`_nameDefaultPending`），之后才追加；空字段上退格/Delete **无效果** ⇒ 默认名永不会剩半截（不存在 `Hero` → `Her`，因此不需要第三套"半删默认名"状态） ｜ 登记行：策划/验收表.md:871	`UI/CharCreatePanel.cs`（`_nameDefaultPending` / `EditNameDefault` / `DisplayName` / `PushName`，2026-09-20 19:23）；离线判据 `tools/probes/hosts/uicheck` 第 ⑱ 节 `CheckNameDefaultReplace`（含反向断言：不许绕开 `EditNameDefault`）；旧状态留档 `.ai-tmp/screenshots/a08_name_digits.png`
**E37**（本轮新登记，由 R1-E 的 **S6** 引发） · **对话面板「菜单项列」的落位口径**：行宽 **66 原版px**（= 两雕花方槽之间净宽 72 内缩 3；= 118.8 画布px）、列中心 **原版 x 103**（= `(SlotCellLeftX1 67 + SlotCellRightX0 139) / 2`，两雕槽中点）。**取代**原 E17 写的"选项与正文同列、行宽 = 内容行宽 334.8 画布px（186 原版px）"（那一版第 2/3 行**压进雕槽**）；选项的**行距 28.5** 未变	原口径把菜单项文字排在正文列上 ⇒ 与两个 **34×34 雕花方槽**（x 34..67 与 139..172、y 115..148）几何重叠（S6；实机可读图见到文字压在雕槽上）。新口径改走"两雕槽之间的中央列"，底图横向中线是 105 ⇒ 本列与中线相差 **3.6 画布px**（这就是裁决记录里那句"列心 −3.6"，**原版 x 值是 103**）	`UI/NpcDialogPanel.cs` 的 `OptionW` / `OptionSize` / `OptionX` / `OptionStep` / `OptionOrigY`；离线 `uicheck` 第 ⑬ 节 S6（"菜单项与两个雕槽二维不相交 / 仍落在石框可见区内 / 行宽 = 66 原版px 且列心 = `Cx(103)` / 文案在字模下都放得下"）；实机 `a10_dialog_not_started.png` / `a11_dialog_in_progress.png` ｜ 登记行：策划/验收表.md:872	拿到原版 NPC 对话截图 / UI 脚本后按槽位落位（**用户提供**）
**E38**（新登记，2026-09-21；任务书给的编号是 **E25**，但 **E25 已被"已消除（片 14）"的 StrBonus 条目占用、且被第 19 行正文引用** ⇒ 顺延为 **E38** 以避免编号二义） · **原版 automap 的图块表 `ui/AUTOMAP/{MaxiMap,Act2Map,Act4Map}.dc6`（`MaxiMap` = 1260 帧 16×32）与逐格 Cel 表 `AutoMap.txt` 本机不存在** ⇒ 无法按原版 blit 口径绘制；**原版 = 满屏叠加层 + 逐格 blit，我们 = 右上角定尺框 + 逐格点阵**	实测（可复跑）：`<仓库根>/原版资源/` 目录**不存在**（`.gitignore` 明确排除）；全盘搜 `MaxiMap*` / `Act2Map*` / `AUTOMAP*` / `AutoMap.txt` = **0 命中**；`client/Assets/Resources/Clover/D2/**` 里**没有任何 AUTOMAP 图块**（只有 automap 家族 5 张横幅 + `MiniMap/mapicon_{0..7}.png` 8 帧 16×16）	`tools/probes/hosts/uicheck/P5Check.cs::MiniMapAutomapSource()`（该结论已钉成断言；原版素材两条走 `Program.CheckOriginalRes` 的"环境依赖 ⇒ 跳过"通道）；`client/Assets/Scripts/UI/MiniMapPanel.cs` 文件头 §素材结论 ｜ 登记行：策划/验收表.md:878	**用户把 `d2data.mpq` 放回本机素材目录**（= `原版资源/`；`MiniMapPanel` 注释里的现行落点是 `<项目根>/_assets_src/`）⇒ 解出 `ui/AUTOMAP/*.dc6` + `AutoMap.txt` 后按原版 blit 重画（只改 `MiniMapPanel.cs` + `ResPaths.cs`） **已消除（2026-09-22 · 片 automap-render-fix · 判据）**：`原版资源/` 已含 `MaxiMap.dc6`（fpd=1260 / 16×32）+ `AutoMap.txt`（2603 数据行）+ ACT1 `Pal.PL2` ⇒ 按原版 blit 重画落地（`tools/probes/gen_automap.py` → `AutoMapCel.generated.cs`；`UI/MiniMapPanel.cs:231-291`）。实机判据 = `.ai-tmp/screenshots/automap_contact_b1.index.tsv` + `.ai-tmp/test/automap/automap_log_b1.txt`
**E39**（新登记，2026-09-21） · **删除/退出二次确认弹窗是本项目新增件**：`UI/D2ConfirmPanel.cs`（新，+ `Assets/Resources/UI/D2ConfirmPanel.prefab`），替换 `UI/CharSelectPanel.cs:206` / `UI/PausePanel.cs:92` 原先调用的**引擎默认** `Game.UI.Confirm`；底板 = 原版 `MENU/boxpieces.DC6` 拼装窗框 `boxframe_pause.png`、按钮 = 原版 `btn_med_normal/_sel/_pressed`	原实现实测是**引擎默认 uGUI 皮肤**（深灰方块 + 两枚纯蓝按钮），与本屏的原版石雕按钮**两种风格**（用户报"弹窗是引擎默认皮肤"）；**「原版删除确认弹窗长什么样」本机无出处**：`原版资源/` 不在位、参考工程 `Diablerie/Assets/Prefabs/` 里**没有**确认弹窗 prefab、原版串表里也没有对应控件图 ⇒ 只做到「原版素材 + 逐像素可自证的拼装口径 + 语义与引擎确认框一致（后到的排队、同时只显示一个）」	`UI/D2ConfirmPanel.cs`（文件头写清取舍与语义）；实机 = `.ai-tmp/screenshots/x_b3_delete_confirm.png`（索引 `x_contact.index.tsv` 格 B3-confirm：`Confirm@[UI]/Top/D2ConfirmPanel(Clone)/ScreenFit/Confirm`）+ `.ai-tmp/screenshots/x_h2_mainmenu.png`（格 H2-menu） ｜ 登记行：策划/验收表.md:879	拿到**原版确认弹窗实机截图**后按其版面/文案定夺（用户提供）
**E40**（新登记，2026-09-21 —— **动画/表现侧 6 条"本机无出处"逐条登记**） · ① **精英怪调色板**：原版精英与普通的差异是**运行期调色板变体**（`Pal.PL2` 族），逐词缀精英调色板本机**没有出处** ⇒ 本项目**不加金色 tint**（真素材到位后精英与普通怪一模一样）② **`zm`/`cr` 的 `RN`（run）与 `wr` 的 `SC`（cast）触发条件**：`monstats.txt` 的 `Run` 列**不能当判据**（该列在 8 只怪上**全非 0**，而素材实测**只有 `zm`/`cr` 有 RN、只有 `wr` 有 SC**）⇒ 工程只有 `TickPlayer` 请求 Run，怪物运行期不请求 ③ **播放速度**：原版 `AnimData.d2` 不在本机 ⇒ 帧率按"各动作帧数 + 固定 step"播，**不是**原版逐动作 fps 表 ④ **投射物 `.dcc` 素材缺**：`missile_c.cel_file` 已登记名（Arrow/Firebolt…）但 `.dcc` 未到手 ⇒ `Module/Skill/ProjectileView.cs` 用**纯色占位**（按伤害类型着色）⑤ **原版 4 态光标图缺**：本批只有单帧 `Cursor/Cursor.png`（32×26）⇒ 5 态统一显示普通箭头、切到缺口形态**逐态一条 Warn** ⑥ **`MENU/boxpieces.DC6` 的帧 offset 表不在本机** ⇒ 选项/暂停窗框的拼装偏移**由像素自证反推**（pitch 12 / 左 −4 右 +5 下 +9 上 0；逐像素接缝 0 不一致、四角 12×12 与角块内容区逐像素相等）	① `Module/View/SpriteFrames.cs` + `ViewModule.ApplyTint`（只在 `UsingPlaceholder` 时上色 ⇒ 真素材不带金色）；② `tools/probes/hosts/animcheck` + `.ai-tmp/screenshots/w3_anim_audit.tsv` 第 64 / 71 / 89 行（`run`/`cast` 触发点"全在**别的单位**路径上"）；③ `.ai-tmp/screenshots/w3_anim_audit.tsv` 帧数列 + `SpriteFrameCounts.generated.cs`；④ `.ai-tmp/screenshots/w3_anim_audit.tsv` 第 128 行（`0/1` + 1 张占位）；⑤ `.ai-tmp/screenshots/w3_uigame_audit.tsv` 光标行 + `uicheck` ㉑；⑥ `tools/d2codec/assemble_boxpieces.py` + `.ai-tmp/screenshots/w5_boxframes.png`（**已绕过**）	`client/资源欠缺清单.md` #24 / #25；`Module/View/{ViewAnimState,SpriteFrames,ViewModule}.cs`；`client/Assets/Scripts/UI/CursorView.cs` ｜ 登记行：策划/验收表.md:880	①③④⑤ 需**用户把 `d2data.mpq` 放回 `原版资源/`**（解出 PL2 族 / `AnimData.d2` / `.dcc` / `CURSOR/Cursor.DC6`）；② 需原版 AI 反汇编或可引用文档；⑥ 需 `boxpieces` 的帧 offset 表（已有像素自证替代）
