# 状态矩阵（T0 全量覆盖）—— 行数必须 == 实体清单的 Σ状态数
# 口径：状态取**枚举值 + 边界值**（阈值上下各一 / 0 / 上限 / 超界）；⛔ 不取"任意帧"、⛔ 不做笛卡尔全组合
# 「实测 / 结论 / 证据」三列本片**故意留空** = 红行（先出表后修，判据由后续按维度的片填）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
D1资源	pack:Objects/moor_fence	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_fence/manifest.json:1 (kind=Objects tileCount=23)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_fence	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_fence/manifest.json:1 (kind=Objects tileCount=23)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_fence/ 可达（48 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_fence/
D1资源	pack:Objects/moor_objects	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_objects/manifest.json:1 (kind=Objects tileCount=7)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_objects/（16 个条目，其中 PNG 7 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_objects/
D1资源	pack:Objects/moor_objects	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_objects/manifest.json:1 (kind=Objects tileCount=7)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_objects	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_objects/manifest.json:1 (kind=Objects tileCount=7)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_objects/ 可达（16 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_objects/
D1资源	pack:Objects/moor_river	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_river/manifest.json:1 (kind=Objects tileCount=1)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_river/（4 个条目，其中 PNG 1 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_river/
D1资源	pack:Objects/moor_river	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_river/manifest.json:1 (kind=Objects tileCount=1)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_river	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_river/manifest.json:1 (kind=Objects tileCount=1)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_river/ 可达（4 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_river/
D1资源	pack:Objects/moor_stones	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_stones/manifest.json:1 (kind=Objects tileCount=5)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_stones/（12 个条目，其中 PNG 5 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_stones/
D1资源	pack:Objects/moor_stones	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_stones/manifest.json:1 (kind=Objects tileCount=5)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_stones	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_stones/manifest.json:1 (kind=Objects tileCount=5)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_stones/ 可达（12 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_stones/
D1资源	pack:Objects/moor_stonewall	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_stonewall/manifest.json:1 (kind=Objects tileCount=52)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_stonewall/（106 个条目，其中 PNG 52 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_stonewall/
D1资源	pack:Objects/moor_stonewall	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_stonewall/manifest.json:1 (kind=Objects tileCount=52)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_stonewall	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_stonewall/manifest.json:1 (kind=Objects tileCount=52)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_stonewall/ 可达（106 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_stonewall/
D1资源	pack:Objects/moor_trees	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_trees/manifest.json:1 (kind=Objects tileCount=21)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_trees/（44 个条目，其中 PNG 21 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_trees/
D1资源	pack:Objects/moor_trees	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_trees/manifest.json:1 (kind=Objects tileCount=21)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_trees	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_trees/manifest.json:1 (kind=Objects tileCount=21)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_trees/ 可达（44 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_trees/
D1资源	pack:Objects/town_fence	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/town_fence/manifest.json:1 (kind=Objects tileCount=31)	目录在盘：client/Assets/Resources/Clover/D2/Objects/town_fence/（64 个条目，其中 PNG 31 张）	一致	client/Assets/Resources/Clover/D2/Objects/town_fence/
D1资源	pack:Objects/town_fence	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/town_fence/manifest.json:1 (kind=Objects tileCount=31)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/town_fence	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/town_fence/manifest.json:1 (kind=Objects tileCount=31)	取资源路径 client/Assets/Resources/Clover/D2/Objects/town_fence/ 可达（64 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/town_fence/
D1资源	pack:Objects/town_objects	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/town_objects/manifest.json:1 (kind=Objects tileCount=72)	目录在盘：client/Assets/Resources/Clover/D2/Objects/town_objects/（146 个条目，其中 PNG 72 张）	一致	client/Assets/Resources/Clover/D2/Objects/town_objects/
D1资源	pack:Objects/town_objects	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/town_objects/manifest.json:1 (kind=Objects tileCount=72)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/town_objects	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/town_objects/manifest.json:1 (kind=Objects tileCount=72)	取资源路径 client/Assets/Resources/Clover/D2/Objects/town_objects/ 可达（146 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/town_objects/
D1资源	pack:Objects/town_trees	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/town_trees/manifest.json:1 (kind=Objects tileCount=110)	目录在盘：client/Assets/Resources/Clover/D2/Objects/town_trees/（222 个条目，其中 PNG 110 张）	一致	client/Assets/Resources/Clover/D2/Objects/town_trees/
D1资源	pack:Objects/town_trees	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/town_trees/manifest.json:1 (kind=Objects tileCount=110)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/town_trees	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/town_trees/manifest.json:1 (kind=Objects tileCount=110)	取资源路径 client/Assets/Resources/Clover/D2/Objects/town_trees/ 可达（222 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/town_trees/
D1资源	pack:Objects/warp	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/warp/manifest.json:1 (kind=Objects tileCount=81)	目录在盘：client/Assets/Resources/Clover/D2/Objects/warp/（164 个条目，其中 PNG 81 张）	一致	client/Assets/Resources/Clover/D2/Objects/warp/
D1资源	pack:Objects/warp	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/warp/manifest.json:1 (kind=Objects tileCount=81)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/warp	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/warp/manifest.json:1 (kind=Objects tileCount=81)	取资源路径 client/Assets/Resources/Clover/D2/Objects/warp/ 可达（164 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/warp/
D1资源	pack:Tiles/cave	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Tiles/cave/manifest.json:1 (kind=Tiles tileCount=196)	目录在盘：client/Assets/Resources/Clover/D2/Tiles/cave/（394 个条目，其中 PNG 196 张）	一致	client/Assets/Resources/Clover/D2/Tiles/cave/
D1资源	pack:Tiles/cave	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Tiles/cave/manifest.json:1 (kind=Tiles tileCount=196)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Tiles/cave	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Tiles/cave/manifest.json:1 (kind=Tiles tileCount=196)	取资源路径 client/Assets/Resources/Clover/D2/Tiles/cave/ 可达（394 个条目）	一致	client/Assets/Resources/Clover/D2/Tiles/cave/
D1资源	pack:Tiles/cave_door	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Tiles/cave_door/manifest.json:1 (kind=Tiles tileCount=40)	目录在盘：client/Assets/Resources/Clover/D2/Tiles/cave_door/（82 个条目，其中 PNG 40 张）	一致	client/Assets/Resources/Clover/D2/Tiles/cave_door/
D1资源	pack:Tiles/cave_door	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Tiles/cave_door/manifest.json:1 (kind=Tiles tileCount=40)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Tiles/cave_door	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Tiles/cave_door/manifest.json:1 (kind=Tiles tileCount=40)	取资源路径 client/Assets/Resources/Clover/D2/Tiles/cave_door/ 可达（82 个条目）	一致	client/Assets/Resources/Clover/D2/Tiles/cave_door/
D1资源	pack:Tiles/moor_bridge	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_bridge/manifest.json:1 (kind=Tiles tileCount=40)	目录在盘：client/Assets/Resources/Clover/D2/Tiles/moor_bridge/（82 个条目，其中 PNG 40 张）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_bridge/
D1资源	pack:Tiles/moor_bridge	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_bridge/manifest.json:1 (kind=Tiles tileCount=40)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Tiles/moor_bridge	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_bridge/manifest.json:1 (kind=Tiles tileCount=40)	取资源路径 client/Assets/Resources/Clover/D2/Tiles/moor_bridge/ 可达（82 个条目）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_bridge/
D1资源	pack:Tiles/moor_objects	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:1 (kind=Tiles tileCount=35)	目录在盘：client/Assets/Resources/Clover/D2/Tiles/moor_objects/（72 个条目，其中 PNG 35 张）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/
D1资源	pack:Tiles/moor_objects	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:1 (kind=Tiles tileCount=35)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Tiles/moor_objects	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:1 (kind=Tiles tileCount=35)	取资源路径 client/Assets/Resources/Clover/D2/Tiles/moor_objects/ 可达（72 个条目）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_objects/
D1资源	pack:Tiles/moor_puddle	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_puddle/manifest.json:1 (kind=Tiles tileCount=24)	目录在盘：client/Assets/Resources/Clover/D2/Tiles/moor_puddle/（50 个条目，其中 PNG 24 张）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_puddle/
D1资源	pack:Tiles/moor_puddle	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_puddle/manifest.json:1 (kind=Tiles tileCount=24)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Tiles/moor_puddle	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_puddle/manifest.json:1 (kind=Tiles tileCount=24)	取资源路径 client/Assets/Resources/Clover/D2/Tiles/moor_puddle/ 可达（50 个条目）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_puddle/
D1资源	pack:Tiles/moor_river	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_river/manifest.json:1 (kind=Tiles tileCount=44)	目录在盘：client/Assets/Resources/Clover/D2/Tiles/moor_river/（90 个条目，其中 PNG 44 张）	一致	client/Assets/Resources/Clover/D2/Tiles/moor_river/
D1资源	pack:Tiles/moor_river	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Tiles/moor_river/manifest.json:1 (kind=Tiles tileCount=44)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
