# 实体清单（T0 全量覆盖）—— 脚本产出，⛔ 不许手写
# 口径：每行 = 一个盘上真实实体；`状态数` = 该实体在 策划/状态矩阵.tsv 里展开的行数
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md（三张 .tsv 按「稳定排序、两次运行逐字节相同」硬要求不写挂钟时刻）
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
# 判据类型：脚本断言 / 参考物比对 / 并排图 / 阻塞(登记)
维度	实体	载体/路径	出处	状态数	判据类型	归属片
D1资源	pack:Objects/moor_river	client/Assets/Resources/Clover/D2/Objects/moor_river/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_river/manifest.json:1 (kind=Objects tileCount=1)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_stones	client/Assets/Resources/Clover/D2/Objects/moor_stones/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_stones/manifest.json:1 (kind=Objects tileCount=5)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_stonewall	client/Assets/Resources/Clover/D2/Objects/moor_stonewall/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_stonewall/manifest.json:1 (kind=Objects tileCount=52)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_trees	client/Assets/Resources/Clover/D2/Objects/moor_trees/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_trees/manifest.json:1 (kind=Objects tileCount=21)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/town_fence	client/Assets/Resources/Clover/D2/Objects/town_fence/manifest.json	client/Assets/Resources/Clover/D2/Objects/town_fence/manifest.json:1 (kind=Objects tileCount=31)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/town_objects	client/Assets/Resources/Clover/D2/Objects/town_objects/manifest.json	client/Assets/Resources/Clover/D2/Objects/town_objects/manifest.json:1 (kind=Objects tileCount=72)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/town_trees	client/Assets/Resources/Clover/D2/Objects/town_trees/manifest.json	client/Assets/Resources/Clover/D2/Objects/town_trees/manifest.json:1 (kind=Objects tileCount=110)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/warp	client/Assets/Resources/Clover/D2/Objects/warp/manifest.json	client/Assets/Resources/Clover/D2/Objects/warp/manifest.json:1 (kind=Objects tileCount=81)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/cave	client/Assets/Resources/Clover/D2/Tiles/cave/manifest.json	client/Assets/Resources/Clover/D2/Tiles/cave/manifest.json:1 (kind=Tiles tileCount=196)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/cave_door	client/Assets/Resources/Clover/D2/Tiles/cave_door/manifest.json	client/Assets/Resources/Clover/D2/Tiles/cave_door/manifest.json:1 (kind=Tiles tileCount=40)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/moor_bridge	client/Assets/Resources/Clover/D2/Tiles/moor_bridge/manifest.json	client/Assets/Resources/Clover/D2/Tiles/moor_bridge/manifest.json:1 (kind=Tiles tileCount=40)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/moor_objects	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json	client/Assets/Resources/Clover/D2/Tiles/moor_objects/manifest.json:1 (kind=Tiles tileCount=35)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/moor_puddle	client/Assets/Resources/Clover/D2/Tiles/moor_puddle/manifest.json	client/Assets/Resources/Clover/D2/Tiles/moor_puddle/manifest.json:1 (kind=Tiles tileCount=24)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/moor_river	client/Assets/Resources/Clover/D2/Tiles/moor_river/manifest.json	client/Assets/Resources/Clover/D2/Tiles/moor_river/manifest.json:1 (kind=Tiles tileCount=44)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/moor_stones	client/Assets/Resources/Clover/D2/Tiles/moor_stones/manifest.json	client/Assets/Resources/Clover/D2/Tiles/moor_stones/manifest.json:1 (kind=Tiles tileCount=36)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/moor_swamp	client/Assets/Resources/Clover/D2/Tiles/moor_swamp/manifest.json	client/Assets/Resources/Clover/D2/Tiles/moor_swamp/manifest.json:1 (kind=Tiles tileCount=138)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/town_floor	client/Assets/Resources/Clover/D2/Tiles/town_floor/manifest.json	client/Assets/Resources/Clover/D2/Tiles/town_floor/manifest.json:1 (kind=Tiles tileCount=144)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Tiles/town_objects	client/Assets/Resources/Clover/D2/Tiles/town_objects/manifest.json	client/Assets/Resources/Clover/D2/Tiles/town_objects/manifest.json:1 (kind=Tiles tileCount=19)	3	脚本断言	D1D2D3资产与几何
D1资源	set:Fonts(26 files)	client/Assets/Resources/Clover/D2/Fonts/	client/Assets/Resources/Clover/D2/Fonts/* (26 个文件)	3	脚本断言	D1D2D3资产与几何
D1资源	set:Items(696 files)	client/Assets/Resources/Clover/D2/Items/	client/Assets/Resources/Clover/D2/Items/* (696 个文件)	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:area_enter	client/Assets/Resources/Clover/Sound/SFX/area_enter.wav	client/Assets/Resources/Clover/Sound/SFX/area_enter.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:cast	client/Assets/Resources/Clover/Sound/SFX/cast.wav	client/Assets/Resources/Clover/Sound/SFX/cast.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:cast_cold	client/Assets/Resources/Clover/Sound/SFX/cast_cold.wav	client/Assets/Resources/Clover/Sound/SFX/cast_cold.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:cast_fire	client/Assets/Resources/Clover/Sound/SFX/cast_fire.wav	client/Assets/Resources/Clover/Sound/SFX/cast_fire.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:cast_lightning	client/Assets/Resources/Clover/Sound/SFX/cast_lightning.wav	client/Assets/Resources/Clover/Sound/SFX/cast_lightning.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:cast_poison	client/Assets/Resources/Clover/Sound/SFX/cast_poison.wav	client/Assets/Resources/Clover/Sound/SFX/cast_poison.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:dialog_open	client/Assets/Resources/Clover/Sound/SFX/dialog_open.wav	client/Assets/Resources/Clover/Sound/SFX/dialog_open.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:footstep	client/Assets/Resources/Clover/Sound/SFX/footstep.wav	client/Assets/Resources/Clover/Sound/SFX/footstep.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:gold_pickup	client/Assets/Resources/Clover/Sound/SFX/gold_pickup.wav	client/Assets/Resources/Clover/Sound/SFX/gold_pickup.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:hit	client/Assets/Resources/Clover/Sound/SFX/hit.wav	client/Assets/Resources/Clover/Sound/SFX/hit.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:item_pickup	client/Assets/Resources/Clover/Sound/SFX/item_pickup.wav	client/Assets/Resources/Clover/Sound/SFX/item_pickup.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:item_use	client/Assets/Resources/Clover/Sound/SFX/item_use.wav	client/Assets/Resources/Clover/Sound/SFX/item_use.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:level_up	client/Assets/Resources/Clover/Sound/SFX/level_up.wav	client/Assets/Resources/Clover/Sound/SFX/level_up.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:miss	client/Assets/Resources/Clover/Sound/SFX/miss.wav	client/Assets/Resources/Clover/Sound/SFX/miss.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:monster_attack	client/Assets/Resources/Clover/Sound/SFX/monster_attack.wav	client/Assets/Resources/Clover/Sound/SFX/monster_attack.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:monster_die	client/Assets/Resources/Clover/Sound/SFX/monster_die.wav	client/Assets/Resources/Clover/Sound/SFX/monster_die.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:monster_revive	client/Assets/Resources/Clover/Sound/SFX/monster_revive.wav	client/Assets/Resources/Clover/Sound/SFX/monster_revive.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:player_die	client/Assets/Resources/Clover/Sound/SFX/player_die.wav	client/Assets/Resources/Clover/Sound/SFX/player_die.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:player_hurt	client/Assets/Resources/Clover/Sound/SFX/player_hurt.wav	client/Assets/Resources/Clover/Sound/SFX/player_hurt.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:player_revive	client/Assets/Resources/Clover/Sound/SFX/player_revive.wav	client/Assets/Resources/Clover/Sound/SFX/player_revive.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:portal	client/Assets/Resources/Clover/Sound/SFX/portal.wav	client/Assets/Resources/Clover/Sound/SFX/portal.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:quest_complete	client/Assets/Resources/Clover/Sound/SFX/quest_complete.wav	client/Assets/Resources/Clover/Sound/SFX/quest_complete.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:shop_open	client/Assets/Resources/Clover/Sound/SFX/shop_open.wav	client/Assets/Resources/Clover/Sound/SFX/shop_open.wav	3	脚本断言	D1D2D3资产与几何
D1资源	sfx:ui_click	client/Assets/Resources/Clover/Sound/SFX/ui_click.wav	client/Assets/Resources/Clover/Sound/SFX/ui_click.wav	3	脚本断言	D1D2D3资产与几何
D1资源	table:Affix	client/Assets/StreamingAssets/Table/Affix.tsv	client/Assets/StreamingAssets/Table/Affix.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Class	client/Assets/StreamingAssets/Table/Class.tsv	client/Assets/StreamingAssets/Table/Class.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Experience	client/Assets/StreamingAssets/Table/Experience.tsv	client/Assets/StreamingAssets/Table/Experience.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Item	client/Assets/StreamingAssets/Table/Item.tsv	client/Assets/StreamingAssets/Table/Item.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Level	client/Assets/StreamingAssets/Table/Level.tsv	client/Assets/StreamingAssets/Table/Level.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Missile	client/Assets/StreamingAssets/Table/Missile.tsv	client/Assets/StreamingAssets/Table/Missile.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Monster	client/Assets/StreamingAssets/Table/Monster.tsv	client/Assets/StreamingAssets/Table/Monster.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Monumod	client/Assets/StreamingAssets/Table/Monumod.tsv	client/Assets/StreamingAssets/Table/Monumod.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Skill	client/Assets/StreamingAssets/Table/Skill.tsv	client/Assets/StreamingAssets/Table/Skill.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	table:Treasureclass	client/Assets/StreamingAssets/Table/Treasureclass.tsv	client/Assets/StreamingAssets/Table/Treasureclass.tsv	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:Banner(29 png)	client/Assets/Resources/Clover/D2/UI/Banner/	client/Assets/Resources/Clover/D2/UI/Banner/*.png (29 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:Cursor(1 png)	client/Assets/Resources/Clover/D2/UI/Cursor/	client/Assets/Resources/Clover/D2/UI/Cursor/*.png (1 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:EquipSlot(6 png)	client/Assets/Resources/Clover/D2/UI/EquipSlot/	client/Assets/Resources/Clover/D2/UI/EquipSlot/*.png (6 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:FrontEnd(0 png)	client/Assets/Resources/Clover/D2/UI/FrontEnd/	client/Assets/Resources/Clover/D2/UI/FrontEnd/*.png (0 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:Logo(1 png)	client/Assets/Resources/Clover/D2/UI/Logo/	client/Assets/Resources/Clover/D2/UI/Logo/*.png (1 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:Menu(75 png)	client/Assets/Resources/Clover/D2/UI/Menu/	client/Assets/Resources/Clover/D2/UI/Menu/*.png (75 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:MiniMap(8 png)	client/Assets/Resources/Clover/D2/UI/MiniMap/	client/Assets/Resources/Clover/D2/UI/MiniMap/*.png (8 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:Panel(180 png)	client/Assets/Resources/Clover/D2/UI/Panel/	client/Assets/Resources/Clover/D2/UI/Panel/*.png (180 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:Quest(567 png)	client/Assets/Resources/Clover/D2/UI/Quest/	client/Assets/Resources/Clover/D2/UI/Quest/*.png (567 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:SkillIcon(421 png)	client/Assets/Resources/Clover/D2/UI/SkillIcon/	client/Assets/Resources/Clover/D2/UI/SkillIcon/*.png (421 张)	3	脚本断言	D1D2D3资产与几何
D1资源	uiarts:SkillTree(80 png)	client/Assets/Resources/Clover/D2/UI/SkillTree/	client/Assets/Resources/Clover/D2/UI/SkillTree/*.png (80 张)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/bk(bk)	client/Assets/Resources/Clover/D2/Monsters/bk/manifest.json	client/Assets/Resources/Clover/D2/Monsters/bk/manifest.json:1 (kind=monster pngCount=464)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/cr(cr)	client/Assets/Resources/Clover/D2/Monsters/cr/manifest.json	client/Assets/Resources/Clover/D2/Monsters/cr/manifest.json:1 (kind=monster pngCount=672)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/fa(fa)	client/Assets/Resources/Clover/D2/Monsters/fa/manifest.json	client/Assets/Resources/Clover/D2/Monsters/fa/manifest.json:1 (kind=monster pngCount=536)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/fs(fs)	client/Assets/Resources/Clover/D2/Monsters/fs/manifest.json	client/Assets/Resources/Clover/D2/Monsters/fs/manifest.json:1 (kind=monster pngCount=552)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/si(si)	client/Assets/Resources/Clover/D2/Monsters/si/manifest.json	client/Assets/Resources/Clover/D2/Monsters/si/manifest.json:1 (kind=monster pngCount=424)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/wr(wr)	client/Assets/Resources/Clover/D2/Monsters/wr/manifest.json	client/Assets/Resources/Clover/D2/Monsters/wr/manifest.json:1 (kind=monster pngCount=696)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/ye(ye)	client/Assets/Resources/Clover/D2/Monsters/ye/manifest.json	client/Assets/Resources/Clover/D2/Monsters/ye/manifest.json:1 (kind=monster pngCount=448)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:monster/zm(zm)	client/Assets/Resources/Clover/D2/Monsters/zm/manifest.json	client/Assets/Resources/Clover/D2/Monsters/zm/manifest.json:1 (kind=monster pngCount=544)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:npc/ci(ci)	client/Assets/Resources/Clover/D2/Monsters/ci/manifest.json	client/Assets/Resources/Clover/D2/Monsters/ci/manifest.json:1 (kind=npc pngCount=168)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:npc/gh(gh)	client/Assets/Resources/Clover/D2/Monsters/gh/manifest.json	client/Assets/Resources/Clover/D2/Monsters/gh/manifest.json:1 (kind=npc pngCount=128)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:npc/ps(ps)	client/Assets/Resources/Clover/D2/Monsters/ps/manifest.json	client/Assets/Resources/Clover/D2/Monsters/ps/manifest.json:1 (kind=npc pngCount=168)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:npc/rc(rc)	client/Assets/Resources/Clover/D2/Monsters/rc/manifest.json	client/Assets/Resources/Clover/D2/Monsters/rc/manifest.json:1 (kind=npc pngCount=160)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:npc/wa(wa)	client/Assets/Resources/Clover/D2/Monsters/wa/manifest.json	client/Assets/Resources/Clover/D2/Monsters/wa/manifest.json:1 (kind=npc pngCount=224)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:player/amazon(am)	client/Assets/Resources/Clover/D2/Chars/amazon/manifest.json	client/Assets/Resources/Clover/D2/Chars/amazon/manifest.json:1 (kind=player pngCount=688)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:player/barbarian(ba)	client/Assets/Resources/Clover/D2/Chars/barbarian/manifest.json	client/Assets/Resources/Clover/D2/Chars/barbarian/manifest.json:1 (kind=player pngCount=656)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:player/necromancer(ne)	client/Assets/Resources/Clover/D2/Chars/necromancer/manifest.json	client/Assets/Resources/Clover/D2/Chars/necromancer/manifest.json:1 (kind=player pngCount=712)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:player/paladin(pa)	client/Assets/Resources/Clover/D2/Chars/paladin/manifest.json	client/Assets/Resources/Clover/D2/Chars/paladin/manifest.json:1 (kind=player pngCount=712)	3	脚本断言	D1D2D3资产与几何
D1资源	unit:player/sorceress(so)	client/Assets/Resources/Clover/D2/Chars/sorceress/manifest.json	client/Assets/Resources/Clover/D2/Chars/sorceress/manifest.json:1 (kind=player pngCount=688)	3	脚本断言	D1D2D3资产与几何
D2几何	area:BloodMoor 血腥荒野	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs	client/Assets/Scripts/Module/Map/MapGenWildLayout.cs:8（原版规则表出处；命中串 "Size 80x80"）	4	脚本断言	D1D2D3资产与几何
D2几何	area:DenOfEvil 邪恶洞穴	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:5（原版规则表出处；命中串 "每块 25×25 格"）	4	脚本断言	D1D2D3资产与几何
D2几何	area:Town 罗格营地	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:7（原版规则表出处；命中串 "关卡 56×40"）	4	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/091	client/Assets/Resources/Clover/D2/Objects/cave/091.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:229 (键 cave/091  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/091.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/092	client/Assets/Resources/Clover/D2/Objects/cave/092.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:252 (键 cave/092  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/092.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/093	client/Assets/Resources/Clover/D2/Objects/cave/093.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:258 (键 cave/093  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/093.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/094	client/Assets/Resources/Clover/D2/Objects/cave/094.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:880 (键 cave/094  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/094.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/095	client/Assets/Resources/Clover/D2/Objects/cave/095.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:249 (键 cave/095  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/095.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/096	client/Assets/Resources/Clover/D2/Objects/cave/096.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:203 (键 cave/096  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/096.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/097	client/Assets/Resources/Clover/D2/Objects/cave/097.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:4146 (键 cave/097  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/097.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/098	client/Assets/Resources/Clover/D2/Objects/cave/098.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:4139 (键 cave/098  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/098.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/099	client/Assets/Resources/Clover/D2/Objects/cave/099.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:2584 (键 cave/099  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/099.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/100	client/Assets/Resources/Clover/D2/Objects/cave/100.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:2583 (键 cave/100  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/100.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/174	client/Assets/Resources/Clover/D2/Objects/cave/174.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:793 (键 cave/174  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/174.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/175	client/Assets/Resources/Clover/D2/Objects/cave/175.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:2205 (键 cave/175  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/175.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/176	client/Assets/Resources/Clover/D2/Objects/cave/176.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:778 (键 cave/176  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/176.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/177	client/Assets/Resources/Clover/D2/Objects/cave/177.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:740 (键 cave/177  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/177.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/178	client/Assets/Resources/Clover/D2/Objects/cave/178.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:775 (键 cave/178  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/178.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/cave/179	client/Assets/Resources/Clover/D2/Objects/cave/179.png	client/Assets/Scripts/Module/Map/MapGenCaveLayout.cs:801 (键 cave/179  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/cave/179.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/moor_bridge/000	client/Assets/Resources/Clover/D2/Objects/moor_bridge/000.png	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:202 (键 moor_bridge/000  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/moor_bridge/000.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/moor_bridge/001	client/Assets/Resources/Clover/D2/Objects/moor_bridge/001.png	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:202 (键 moor_bridge/001  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/moor_bridge/001.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/moor_bridge/002	client/Assets/Resources/Clover/D2/Objects/moor_bridge/002.png	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:202 (键 moor_bridge/002  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/moor_bridge/002.png)	3	脚本断言	D1D2D3资产与几何
D2几何	tile:Objects/moor_bridge/003	client/Assets/Resources/Clover/D2/Objects/moor_bridge/003.png	client/Assets/Scripts/Module/Map/MapGenTownLayout.cs:202 (键 moor_bridge/003  ⇒ 盘上=client/Assets/Resources/Clover/D2/Objects/moor_bridge/003.png)	3	脚本断言	D1D2D3资产与几何
